year,population_m,budget_b,forex,unemployment
2000,122.28,8.2,,3.95
2001,125.39,8.72,,4.03
2002,128.6,9.55,,4.11
2003,131.9,12.03,,4.06
2004,135.32,9.26,,3.98
2005,138.87,11.94,,3.87
2006,142.54,14.44,,3.67
2007,146.34,19.51,,3.44
2008,150.27,23.27,,3.42
2009,154.32,19.3,,3.76
2010,158.5,29.04,,3.77
2011,162.81,29.73,,3.7
2012,167.23,30.95,,3.69
2013,171.77,31.57,,3.7
2014,176.4,26.88,,4.44
2015,181.14,17.64,,5.31
2016,185.96,19.55,,6.24
2017,190.87,20.55,,6.01
2018,195.87,23.59,,6.03
2019,200,24.72,,6.11
