year,avg_temp
1750,8.72
1751,8.72
1752,8.72
1753,8.72
1754,8.72
1755,8.72
1756,8.72
1757,8.72
1758,8.72
1759,8.72
1760,8.72
1761,8.72
1762,8.72
1763,8.72
1764,8.72
1765,8.72
1766,8.72
1767,8.72
1768,8.72
1769,8.72
1770,8.72
1771,8.72
1772,8.72
1773,8.72
1774,8.72
1775,8.72
1776,8.72
1777,8.72
1778,8.72
1779,8.72
1780,8.72
1781,8.72
1782,8.72
1783,8.72
1784,8.72
1785,8.72
1786,8.72
1787,8.72
1788,8.72
1789,8.72
1790,8.72
1791,8.72
1792,8.72
1793,8.72
1794,8.72
1795,8.72
1796,8.72
1797,8.72
1798,8.72
1799,8.72
1800,8.72
1801,8.72
1802,8.72
1803,8.72
1804,8.72
1805,8.72
1806,8.72
1807,8.72
1808,8.72
1809,8.72
1810,8.72
1811,8.72
1812,8.72
1813,8.72
1814,8.72
1815,8.72
1816,8.72
1817,8.72
1818,8.72
1819,8.72
1820,8.72
1821,8.72
1822,8.72
1823,8.72
1824,8.72
1825,8.72
1826,8.72
1827,8.72
1828,8.72
1829,8.72
1830,8.72
1831,8.72
1832,8.72
1833,8.72
1834,8.72
1835,8.72
1836,8.72
1837,8.72
1838,8.72
1839,8.72
1840,8.72
1841,8.72
1842,8.72
1843,8.72
1844,8.72
1845,8.72
1846,8.72
1847,8.72
1848,8.72
1849,8.72
1850,8.72
1851,8.72
1852,8.72
1853,8.72
1854,8.72
1855,8.72
1856,8.72
1857,8.72
1858,8.72
1859,8.72
1860,8.72
1861,8.72
1862,8.72
1863,8.72
1864,8.72
1865,8.72
1866,8.72
1867,8.72
1868,8.72
1869,8.72
1870,8.72
1871,8.72
1872,8.72
1873,8.72
1874,8.72
1875,8.72
1876,8.72
1877,8.72
1878,8.72
1879,8.72
1880,8.72
1881,8.72
1882,8.72
1883,8.72
1884,8.72
1885,8.72
1886,8.72
1887,8.72
1888,8.72
1889,8.72
1890,8.72
1891,8.72
1892,8.72
1893,8.72
1894,8.72
1895,8.72
1896,8.72
1897,8.72
1898,8.72
1899,8.72
1900,8.72
1901,8.72
1902,8.72
1903,8.72
1904,8.72
1905,8.72
1906,8.72
1907,8.72
1908,8.72
1909,8.72
1910,8.72
1911,8.72
1912,8.72
1913,8.72
1914,8.72
1915,8.72
1916,8.72
1917,8.72
1918,8.72
1919,8.72
1920,8.72
1921,8.72
1922,8.72
1923,8.72
1924,8.72
1925,8.72
1926,8.72
1927,8.72
1928,8.72
1929,8.72
1930,8.72
1931,8.72
1932,8.72
1933,8.72
1934,8.72
1935,8.72
1936,8.72
1937,8.72
1938,8.72
1939,8.72
1940,8.72
1941,8.72
1942,8.72
1943,8.72
1944,8.72
1945,8.72
1946,8.72
1947,8.72
1948,8.72
1949,8.72
1950,8.72
1951,8.72
1952,8.72
1953,8.72
1954,8.72
1955,8.72
1956,8.72
1957,8.72
1958,8.72
1959,8.72
1960,8.72
1961,8.72
1962,8.72
1963,8.72
1964,8.72
1965,8.72
1966,8.72
1967,8.72
1968,8.72
1969,8.72
1970,8.72
1971,8.72
1972,8.72
1973,8.72
1974,8.72
1975,8.72
1976,8.72
1977,8.72
1978,8.72
1979,8.72
1980,8.72
1981,8.72
1982,8.72
1983,8.72
1984,8.72
1985,8.72
1986,8.72
1987,8.72
1988,8.72
1989,8.72
1990,8.72
1991,8.72
1992,8.72
1993,8.72
1994,8.72
1995,8.72
1996,8.72
1997,8.72
1998,8.72
1999,8.72
2000,8.72
2001,8.72
2002,8.72
2003,8.72
2004,8.72
2005,8.72
2006,8.72
2007,8.72
2008,8.72
2009,8.72
2010,8.72
2011,8.72
2012,8.72
2013,8.72
2014,8.72
2015,8.72
